"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 30","17,195","17,160","17,210","17,005","61.92K","0.70%"
"2024- 12- 27","17,075","17,045","17,500","16,990","166.42K","0.53%"
"2024- 12- 26","16,985","16,840","16,985","16,800","155.82K","1.28%"
"2024- 12- 24","16,770","16,670","16,790","16,650","24.00K","0.60%"
"2024- 12- 23","16,670","16,525","16,670","16,520","32.33K","0.15%"
"2024- 12- 20","16,645","16,575","16,665","16,550","143.93K","-0.03%"
"2024- 12- 19","16,650","16,650","16,660","16,560","110.56K","2.34%"
"2024- 12- 18","16,270","16,345","16,345","16,255","26.58K","-0.43%"
"2024- 12- 17","16,340","16,310","16,340","16,230","36.05K","0.58%"
"2024- 12- 16","16,245","16,155","16,320","16,085","48.50K","0.28%"
"2024- 12- 13","16,200","16,185","16,245","16,170","120.60K","0.09%"
"2024- 12- 12","16,185","16,140","16,245","16,100","95.11K","-0.06%"
"2024- 12- 11","16,195","16,220","16,240","16,120","50.04K","0.93%"
"2024- 12- 10","16,045","16,155","16,180","16,045","63.18K","-1.50%"
"2024- 12- 09","16,290","16,040","16,320","16,040","201.27K","2.49%"
"2024- 12- 06","15,895","15,815","16,115","15,790","122.26K","0.66%"
"2024- 12- 05","15,790","15,710","15,820","15,710","22.77K","0.73%"
"2024- 12- 04","15,675","15,765","15,815","15,585","97.54K","1.06%"
"2024- 12- 03","15,510","15,555","15,565","15,470","29.86K","0.03%"
"2024- 12- 02","15,505","15,350","15,545","15,350","109.27K","1.01%"
"2024- 11- 29","15,350","15,335","15,400","15,315","157.01K","-0.03%"
"2024- 11- 28","15,355","15,275","15,365","15,270","80.46K","-0.10%"
"2024- 11- 27","15,370","15,295","15,405","15,280","39.48K","-0.16%"
"2024- 11- 26","15,395","15,525","15,590","15,315","73.02K","-0.45%"
"2024- 11- 25","15,465","15,410","15,465","15,330","20.23K","0.00%"
"2024- 11- 22","15,465","15,430","15,465","15,400","24.67K","0.55%"
"2024- 11- 21","15,380","15,405","15,425","15,355","90.39K","0.98%"
"2024- 11- 20","15,230","15,215","15,280","15,180","32.19K","0.26%"
"2024- 11- 19","15,190","15,265","15,290","15,170","25.50K","-0.78%"
"2024- 11- 18","15,310","15,330","15,340","15,145","40.36K","-0.42%"
"2024- 11- 15","15,375","15,535","15,585","15,355","48.64K","-0.19%"
"2024- 11- 14","15,405","15,550","15,605","15,380","42.86K","-0.93%"
"2024- 11- 13","15,550","15,590","15,640","15,485","65.01K","0.42%"
"2024- 11- 12","15,485","15,375","15,490","15,375","66.53K","1.41%"
"2024- 11- 11","15,270","15,285","15,340","15,235","34.69K","1.06%"
"2024- 11- 08","15,110","15,055","15,130","15,005","44.90K","-1.24%"
"2024- 11- 07","15,300","15,375","15,475","15,290","46.22K","0.03%"
"2024- 11- 06","15,295","14,845","15,385","14,835","79.42K","2.48%"
"2024- 11- 05","14,925","14,830","14,945","14,830","15.00K","1.12%"
"2024- 11- 04","14,760","14,905","14,905","14,715","12.05K","-1.27%"
"2024- 11- 01","14,950","14,870","14,960","14,840","11.74K","-0.10%"
"2024- 10- 31","14,965","14,990","15,000","14,890","11.94K","-0.27%"
"2024- 10- 30","15,005","15,055","15,055","14,985","7.43K","-0.50%"
"2024- 10- 29","15,080","15,005","15,090","14,905","16.76K","0.40%"
"2024- 10- 28","15,020","15,145","15,165","15,010","108.86K","-0.66%"
"2024- 10- 25","15,120","14,940","15,155","14,900","48.83K","1.31%"
"2024- 10- 24","14,925","14,975","14,975","14,885","11.63K","-0.33%"
"2024- 10- 23","14,975","14,940","15,040","14,930","90.68K","0.44%"
"2024- 10- 22","14,910","14,885","14,970","14,860","41.17K","0.74%"
"2024- 10- 21","14,800","14,675","14,800","14,620","35.21K","0.68%"
"2024- 10- 18","14,700","14,735","14,755","14,680","38.08K","0.14%"
"2024- 10- 17","14,680","14,595","14,695","14,575","31.63K","1.10%"
"2024- 10- 16","14,520","14,560","14,620","14,495","21.22K","0.07%"
"2024- 10- 15","14,510","14,395","14,550","14,385","21.78K","1.04%"
"2024- 10- 14","14,360","14,280","14,440","14,250","33.58K","0.88%"
"2024- 10- 11","14,235","14,260","14,270","14,165","25.61K","-0.14%"
"2024- 10- 10","14,255","14,205","14,260","14,205","32.28K","0.11%"
"2024- 10- 08","14,240","14,180","14,265","14,135","36.40K","0.42%"
"2024- 10- 07","14,180","14,145","14,225","14,095","127.23K","2.09%"
"2024- 10- 04","13,890","13,865","13,920","13,845","60.66K","2.28%"
"2024- 10- 02","13,580","13,470","13,675","13,470","39.48K","1.65%"
"2024- 09- 30","13,360","13,425","13,435","13,260","67.36K","-1.58%"
"2024- 09- 27","13,575","13,560","13,640","13,515","135.23K","-1.31%"
"2024- 09- 26","13,755","13,905","13,905","13,755","74.11K","-0.40%"
"2024- 09- 25","13,810","13,720","13,810","13,660","47.88K","-0.65%"
"2024- 09- 24","13,900","13,915","13,930","13,845","19.94K","-0.11%"
"2024- 09- 23","13,915","13,830","13,935","13,830","51.52K","0.91%"
"2024- 09- 20","13,790","13,735","13,825","13,735","18.86K","0.25%"
"2024- 09- 19","13,755","13,665","13,915","13,665","85.39K","-0.07%"
"2024- 09- 13","13,765","13,915","13,915","13,725","57.49K","-1.33%"
"2024- 09- 12","13,950","14,020","14,020","13,945","9.35K","0.00%"
"2024- 09- 11","13,950","14,040","14,065","13,915","56.22K","-0.57%"
"2024- 09- 10","14,030","14,020","14,075","14,015","28.78K","0.54%"
"2024- 09- 09","13,955","13,900","13,990","13,900","45.43K","1.71%"
"2024- 09- 06","13,720","13,825","13,860","13,685","62.23K","-1.01%"
