"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 30","5,050","5,065","5,110","5,045","4.16M","-0.59%"
"2024- 12- 27","5,080","5,110","5,110","4,960","1.80M","-0.88%"
"2024- 12- 26","5,125","5,165","5,175","5,115","2.17M","-1.06%"
"2024- 12- 24","5,180","5,220","5,220","5,175","606.36K","-0.77%"
"2024- 12- 23","5,220","5,245","5,260","5,215","457.49K","0.00%"
"2024- 12- 20","5,220","5,235","5,250","5,215","1.09M","0.00%"
"2024- 12- 19","5,220","5,215","5,245","5,205","1.22M","-2.25%"
"2024- 12- 18","5,340","5,320","5,345","5,315","259.18K","0.38%"
"2024- 12- 17","5,320","5,325","5,350","5,315","406.46K","-0.56%"
"2024- 12- 16","5,350","5,375","5,400","5,320","1.90M","-0.37%"
"2024- 12- 13","5,370","5,360","5,375","5,345","488.85K","-0.09%"
"2024- 12- 12","5,375","5,385","5,395","5,350","400.81K","0.00%"
"2024- 12- 11","5,375","5,355","5,395","5,345","1.43M","-0.46%"
"2024- 12- 10","5,400","5,370","5,410","5,365","407.36K","1.22%"
"2024- 12- 09","5,335","5,405","5,410","5,320","1.25M","-2.47%"
"2024- 12- 06","5,470","5,495","5,500","5,390","878.37K","-0.55%"
"2024- 12- 05","5,500","5,525","5,530","5,490","928.47K","-0.72%"
"2024- 12- 04","5,540","5,520","5,570","5,485","1.72M","-1.16%"
"2024- 12- 03","5,605","5,575","5,615","5,575","336.28K","0.18%"
"2024- 12- 02","5,595","5,645","5,650","5,585","440.21K","-1.06%"
"2024- 11- 29","5,655","5,655","5,665","5,635","341.72K","0.18%"
"2024- 11- 28","5,645","5,675","5,680","5,640","702.38K","0.09%"
"2024- 11- 27","5,640","5,670","5,670","5,630","242.95K","0.09%"
"2024- 11- 26","5,635","5,590","5,665","5,565","1.27M","0.45%"
"2024- 11- 25","5,610","5,625","5,660","5,610","589.59K","-0.09%"
"2024- 11- 22","5,615","5,615","5,635","5,605","476.69K","-0.44%"
"2024- 11- 21","5,640","5,635","5,650","5,625","408.53K","-1.05%"
"2024- 11- 20","5,700","5,685","5,715","5,665","358.46K","0.09%"
"2024- 11- 19","5,695","5,675","5,710","5,665","692.02K","0.53%"
"2024- 11- 18","5,665","5,645","5,715","5,640","734.63K","0.80%"
"2024- 11- 15","5,620","5,565","5,630","5,550","550.82K","0.99%"
"2024- 11- 14","5,565","5,575","5,600","5,530","573.12K","0.00%"
"2024- 11- 13","5,565","5,555","5,590","5,535","1.10M","-0.63%"
"2024- 11- 12","5,600","5,635","5,635","5,590","1.06M","-1.15%"
"2024- 11- 11","5,665","5,665","5,680","5,640","699.34K","-1.05%"
"2024- 11- 08","5,725","5,740","5,760","5,715","1.63M","1.15%"
"2024- 11- 07","5,660","5,630","5,660","5,590","1.11M","-0.18%"
"2024- 11- 06","5,670","5,840","5,840","5,635","3.10M","-2.33%"
"2024- 11- 05","5,805","5,840","5,845","5,795","264.21K","-1.19%"
"2024- 11- 04","5,875","5,810","5,885","5,810","554.62K","1.38%"
"2024- 11- 01","5,795","5,825","5,835","5,790","505.59K","0.00%"
"2024- 10- 31","5,795","5,780","5,815","5,780","473.74K","0.26%"
"2024- 10- 30","5,780","5,760","5,780","5,755","360.22K","0.52%"
"2024- 10- 29","5,750","5,775","5,810","5,740","393.91K","-0.17%"
"2024- 10- 28","5,760","5,715","5,770","5,710","706.30K","0.52%"
"2024- 10- 25","5,730","5,805","5,815","5,715","1.26M","-1.29%"
"2024- 10- 24","5,805","5,790","5,820","5,785","373.32K","0.26%"
"2024- 10- 23","5,790","5,805","5,805","5,760","564.04K","-0.26%"
"2024- 10- 22","5,805","5,810","5,825","5,780","507.46K","-0.77%"
"2024- 10- 21","5,850","5,900","5,920","5,845","366.66K","-0.76%"
"2024- 10- 18","5,895","5,880","5,895","5,865","564.29K","-0.17%"
"2024- 10- 17","5,905","5,935","5,945","5,895","503.60K","-0.92%"
"2024- 10- 16","5,960","5,950","5,970","5,920","395.80K","-0.25%"
"2024- 10- 15","5,975","6,015","6,020","5,950","472.20K","-0.75%"
"2024- 10- 14","6,020","6,060","6,070","5,990","515.20K","-0.99%"
"2024- 10- 11","6,080","6,070","6,110","6,060","345.60K","0.08%"
"2024- 10- 10","6,075","6,090","6,090","6,065","429.19K","-0.08%"
"2024- 10- 08","6,080","6,105","6,120","6,055","416.64K","-0.33%"
"2024- 10- 07","6,100","6,115","6,135","6,075","854.34K","-2.32%"
"2024- 10- 04","6,245","6,235","6,245","6,215","621.97K","-1.89%"
"2024- 10- 02","6,365","6,335","6,400","6,315","491.28K","-1.85%"
"2024- 09- 30","6,485","6,450","6,520","6,435","924.69K","1.81%"
"2024- 09- 27","6,370","6,375","6,405","6,335","718.64K","1.27%"
"2024- 09- 26","6,290","6,220","6,290","6,220","174.67K","0.48%"
"2024- 09- 25","6,260","6,310","6,330","6,260","320.48K","0.64%"
"2024- 09- 24","6,220","6,230","6,245","6,210","208.70K","0.00%"
"2024- 09- 23","6,220","6,250","6,250","6,205","242.36K","-0.80%"
"2024- 09- 20","6,270","6,295","6,295","6,255","311.34K","0.00%"
