holdout_key,key,case,model,lookback,shift,best_hp_json,best_cv_RMSE,best_cv_MAE,best_cv_MAPE,best_cv_MSPE,best_cv_MedAE,best_cv_MedAPE,holdout_RMSE,holdout_MSPE,holdout_MAE,holdout_MAPE,holdout_MedAE,holdout_MedAPE
Macro Only||RandomWalk||lb=5||shift=1||HOLDOUT,Macro Only||RandomWalk||lb=5||shift=1,Macro Only,RandomWalk,5,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro Only||RandomWalk||lb=10||shift=1||HOLDOUT,Macro Only||RandomWalk||lb=10||shift=1,Macro Only,RandomWalk,10,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro Only||RandomWalk||lb=20||shift=1||HOLDOUT,Macro Only||RandomWalk||lb=20||shift=1,Macro Only,RandomWalk,20,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro Only||RandomWalk||lb=30||shift=1||HOLDOUT,Macro Only||RandomWalk||lb=30||shift=1,Macro Only,RandomWalk,30,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro Only||RandomWalk||lb=60||shift=1||HOLDOUT,Macro Only||RandomWalk||lb=60||shift=1,Macro Only,RandomWalk,60,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro Only||RandomWalk||lb=90||shift=1||HOLDOUT,Macro Only||RandomWalk||lb=90||shift=1,Macro Only,RandomWalk,90,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro Only||SARIMA||lb=5||shift=1||HOLDOUT,Macro Only||SARIMA||lb=5||shift=1,Macro Only,SARIMA,5,1,"{""order_p"": 1, ""order_d"": 0, ""order_q"": 2, ""seasonal_P"": 1, ""seasonal_D"": 1, ""seasonal_Q"": 0, ""seasonal_s"": 5}",43.223795748495824,36.84217518282183,2.80369721975779,0.1320909135120637,38.17572781686789,2.867107166058796,78.2054937430141,0.3150428156990186,69.83097018193888,5.062301460832877,72.33826655807866,5.2864551850892925
Macro Only||SARIMA||lb=10||shift=1||HOLDOUT,Macro Only||SARIMA||lb=10||shift=1,Macro Only,SARIMA,10,1,"{""order_p"": 1, ""order_d"": 0, ""order_q"": 2, ""seasonal_P"": 1, ""seasonal_D"": 1, ""seasonal_Q"": 0, ""seasonal_s"": 5}",43.223795748495824,36.84217518282183,2.80369721975779,0.1320909135120637,38.17572781686789,2.867107166058796,78.2054937430141,0.3150428156990186,69.83097018193888,5.062301460832877,72.33826655807866,5.2864551850892925
Macro Only||SARIMA||lb=20||shift=1||HOLDOUT,Macro Only||SARIMA||lb=20||shift=1,Macro Only,SARIMA,20,1,"{""order_p"": 1, ""order_d"": 0, ""order_q"": 2, ""seasonal_P"": 1, ""seasonal_D"": 1, ""seasonal_Q"": 0, ""seasonal_s"": 5}",43.223795748495824,36.84217518282183,2.80369721975779,0.1320909135120637,38.17572781686789,2.867107166058796,78.2054937430141,0.3150428156990186,69.83097018193888,5.062301460832877,72.33826655807866,5.2864551850892925
Macro Only||SARIMA||lb=30||shift=1||HOLDOUT,Macro Only||SARIMA||lb=30||shift=1,Macro Only,SARIMA,30,1,"{""order_p"": 1, ""order_d"": 0, ""order_q"": 2, ""seasonal_P"": 1, ""seasonal_D"": 1, ""seasonal_Q"": 0, ""seasonal_s"": 5}",43.223795748495824,36.84217518282183,2.80369721975779,0.1320909135120637,38.17572781686789,2.867107166058796,78.2054937430141,0.3150428156990186,69.83097018193888,5.062301460832877,72.33826655807866,5.2864551850892925
