holdout_key,key,case,model,lookback,shift,best_hp_json,best_cv_RMSE,best_cv_MAE,best_cv_MAPE,best_cv_MSPE,best_cv_MedAE,best_cv_MedAPE,holdout_RMSE,holdout_MSPE,holdout_MAE,holdout_MAPE,holdout_MedAE,holdout_MedAPE
Macro + Sentiment (Both)||RandomWalk||lb=5||shift=1||HOLDOUT,Macro + Sentiment (Both)||RandomWalk||lb=5||shift=1,Macro + Sentiment (Both),RandomWalk,5,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro + Sentiment (Both)||RandomWalk||lb=10||shift=1||HOLDOUT,Macro + Sentiment (Both)||RandomWalk||lb=10||shift=1,Macro + Sentiment (Both),RandomWalk,10,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro + Sentiment (Both)||RandomWalk||lb=20||shift=1||HOLDOUT,Macro + Sentiment (Both)||RandomWalk||lb=20||shift=1,Macro + Sentiment (Both),RandomWalk,20,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro + Sentiment (Both)||RandomWalk||lb=30||shift=1||HOLDOUT,Macro + Sentiment (Both)||RandomWalk||lb=30||shift=1,Macro + Sentiment (Both),RandomWalk,30,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro + Sentiment (Both)||RandomWalk||lb=60||shift=1||HOLDOUT,Macro + Sentiment (Both)||RandomWalk||lb=60||shift=1,Macro + Sentiment (Both),RandomWalk,60,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro + Sentiment (Both)||RandomWalk||lb=90||shift=1||HOLDOUT,Macro + Sentiment (Both)||RandomWalk||lb=90||shift=1,Macro + Sentiment (Both),RandomWalk,90,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro + Sentiment (Both)||SARIMA||lb=5||shift=1||HOLDOUT,Macro + Sentiment (Both)||SARIMA||lb=5||shift=1,Macro + Sentiment (Both),SARIMA,5,1,"{""order_p"": 0, ""order_d"": 1, ""order_q"": 1, ""seasonal_P"": 1, ""seasonal_D"": 0, ""seasonal_Q"": 1, ""seasonal_s"": 5}",44.15712725903305,37.81315089559339,2.8727410645427645,0.1324508078538579,37.57202001269855,2.9104742291541648,72.77800903067237,0.2719917072088587,64.05249060136836,4.638619593666729,66.85785412715381,4.894676264389632
Macro + Sentiment (Both)||SARIMA||lb=10||shift=1||HOLDOUT,Macro + Sentiment (Both)||SARIMA||lb=10||shift=1,Macro + Sentiment (Both),SARIMA,10,1,"{""order_p"": 0, ""order_d"": 1, ""order_q"": 1, ""seasonal_P"": 1, ""seasonal_D"": 0, ""seasonal_Q"": 1, ""seasonal_s"": 5}",44.15712725903305,37.81315089559339,2.8727410645427645,0.1324508078538579,37.57202001269855,2.9104742291541648,72.77800903067237,0.2719917072088587,64.05249060136836,4.638619593666729,66.85785412715381,4.894676264389632
Macro + Sentiment (Both)||SARIMA||lb=20||shift=1||HOLDOUT,Macro + Sentiment (Both)||SARIMA||lb=20||shift=1,Macro + Sentiment (Both),SARIMA,20,1,"{""order_p"": 0, ""order_d"": 1, ""order_q"": 1, ""seasonal_P"": 1, ""seasonal_D"": 0, ""seasonal_Q"": 1, ""seasonal_s"": 5}",44.15712725903305,37.81315089559339,2.8727410645427645,0.1324508078538579,37.57202001269855,2.9104742291541648,72.77800903067237,0.2719917072088587,64.05249060136836,4.638619593666729,66.85785412715381,4.894676264389632
Macro + Sentiment (Both)||SARIMA||lb=30||shift=1||HOLDOUT,Macro + Sentiment (Both)||SARIMA||lb=30||shift=1,Macro + Sentiment (Both),SARIMA,30,1,"{""order_p"": 0, ""order_d"": 1, ""order_q"": 1, ""seasonal_P"": 1, ""seasonal_D"": 0, ""seasonal_Q"": 1, ""seasonal_s"": 5}",44.15712725903305,37.81315089559339,2.8727410645427645,0.1324508078538579,37.57202001269855,2.9104742291541648,72.77800903067237,0.2719917072088587,64.05249060136836,4.638619593666729,66.85785412715381,4.894676264389632
